         633662181 function calls (624021167 primitive calls) in 545.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2119074    2.096    0.000    9.706    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\dtypes.py:1119(is_dtype)
364473/191067    2.053    0.000   14.108    0.000 ..\highway_env\vehicle\kinematics.py:238(to_dict)
  4402840    2.028    0.000    7.385    0.000 <__array_function__ internals>:2(dot)
  1006521    1.997    0.000    1.997    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:195(__init__)
    35316    1.992    0.000  363.975    0.010 ..\highway_env\envs\common\observation.py:187(observe)
   988884    1.928    0.000    4.085    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:4086(__getitem__)
   917644    1.924    0.000    2.550    0.000 ..\highway_env\road\lane.py:61(on_lane)
     3608    1.893    0.001    1.893    0.001 {method 'tolist' of 'numpy.ndarray' objects}
   500750    1.865    0.000    1.865    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:87(_clip_dep_invoke_with_casting)
  3502358    1.852    0.000    3.437    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\numerictypes.py:286(issubclass_)
   847608    1.850    0.000   33.331    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:2723(make_block)
  1751179    1.832    0.000    5.456    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
  2207379    1.829    0.000    9.813    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\dtypes.py:906(is_dtype)
  1326799    1.822    0.000    1.822    0.000 {built-in method numpy.empty}
   565056    1.747    0.000   60.814    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:2741(_construct_result)
   565056    1.629    0.000   98.579    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\__init__.py:335(wrapper)
  2172039    1.605    0.000    6.983    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
   157277    1.602    0.000   11.744    0.000 ..\highway_env\road\road.py:312(neighbour_vehicles)
  2507598    1.572    0.000   10.751    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:530(is_categorical_dtype)
   565056    1.531    0.000    8.240    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\computation\expressions.py:61(_evaluate_standard)
   723987    1.530    0.000    2.888    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5097(__finalize__)
    52977    1.525    0.000   17.365    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1309(_slice_take_blocks_ax0)
  5310741    1.514    0.000    5.807    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_asarray.py:14(asarray)
     1300    1.504    0.001    1.504    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
   565056    1.458    0.000   12.343    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\array_ops.py:119(na_arithmetic_op)
   211908    1.439    0.000   11.118    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\algorithms.py:1640(take_nd)
  1236090    1.436    0.000    2.901    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:237(mgr_locs)
  2383971    1.424    0.000   11.535    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:456(is_period_dtype)
    19015    1.421    0.000    1.421    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
