         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 12780688    7.225    0.000   48.545    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\base.py:256(is_dtype)
  1088368    2.687    0.000   48.014    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:2723(make_block)
  2105440    4.459    0.000   47.004    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:106(_clip)
  1835874    1.383    0.000   43.872    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:5562(ensure_index)
   136212    1.191    0.000   41.723    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:1672(isetter)
 96814375   41.292    0.000   41.499    0.000 {built-in method builtins.getattr}
 61464572   14.965    0.000   40.772    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
    66826    0.740    0.000   39.689    0.001 ..\highway_env\road\road.py:297(step)
  1087704    4.175    0.000   38.673    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\construction.py:390(sanitize_array)
   817272    3.653    0.000   37.153    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:201(__init__)
407972/203986    5.336    0.000   35.326    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:293(__new__)
   135880    0.401    0.000   33.209    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:498(to_arrays)
   272424    1.100    0.000   32.999    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:2741(_construct_result)
   135880    1.810    0.000   31.943    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:609(_list_of_dict_to_arrays)
   135880    1.039    0.000   31.497    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:329(_homogenize)
   759264   31.433    0.000   31.433    0.000 {built-in method addmm}
  4210880   11.156    0.000   31.083    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:72(_clip_dep_is_scalar_nan)
   135880    2.453    0.000   28.900    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:295(__init__)
  1208890    2.621    0.000   28.056    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
   135880    0.152    0.000   27.847    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:709(_convert_object_array)
   135880    0.318    0.000   27.694    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:732(<listcomp>)
   815280    1.375    0.000   27.376    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:726(convert)
   272424    0.968    0.000   27.115    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3028(__setitem__)
  1165998    1.407    0.000   25.771    0.000 {method 'clip' of 'numpy.generic' objects}
   272424    0.817    0.000   24.620    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3109(_set_item)
  2609768    1.631    0.000   24.361    0.000 <__array_function__ internals>:2(norm)
   339866    0.895    0.000   24.292    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:441(__init__)
     9975    0.066    0.000   23.922    0.002 ..\highway_env\envs\common\graphics.py:136(get_image)
  1070124    0.930    0.000   23.531    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\activation.py:101(forward)
     9975    0.019    0.000   23.461    0.002 X:\Anaconda\envs\marl_cav\lib\site-packages\pygame\surfarray.py:116(array3d)
     9975    0.038    0.000   23.442    0.002 X:\Anaconda\envs\marl_cav\lib\site-packages\pygame\_numpysurfarray.py:143(array3d)
   939442    0.767    0.000   23.406    0.000 {method 'clip' of 'numpy.ndarray' objects}
    80012    0.611    0.000   23.207    0.000 ..\highway_env\vehicle\behavior.py:74(act)
   280490    5.175    0.000   23.011    0.000 ..\highway_env\vehicle\kinematics.py:123(step)
     9975   22.979    0.002   22.979    0.002 {built-in method pygame.pixelcopy.surface_to_array}
