         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2923246    3.873    0.000    9.903    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:224(is_sparse)
   844962    3.854    0.000   10.650    0.000 ..\highway_env\road\lane.py:102(distance_with_heading)
  1633216    3.853    0.000   13.021    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
    68772    3.780    0.000   54.979    0.001 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\single_agent\Model_common.py:117(__call__)
  1087040    3.754    0.000   14.803    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1310(maybe_cast_to_datetime)
   817272    3.653    0.000   37.153    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:201(__init__)
  1496340    3.526    0.000    7.644    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:4086(__getitem__)
  1847845    3.479    0.000    3.479    0.000 {built-in method numpy.empty}
  1087704    3.430    0.000   12.260    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1187(maybe_castable)
  1412877    3.394    0.000    4.462    0.000 ..\highway_env\road\lane.py:61(on_lane)
  5188995    3.289    0.000   16.435    0.000 ..\highway_env\road\graphics.py:57(vec2pix)
   431586    3.278    0.000   22.034    0.000 ..\highway_env\road\road.py:312(neighbour_vehicles)
 11145740    3.264    0.000   13.076    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_asarray.py:14(asarray)
  1138896    3.244    0.000   75.103    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\linear.py:92(forward)
   203986    3.210    0.000    6.603    0.000 {pandas._libs.lib.clean_index_list}
    22424    3.159    0.000   68.748    0.003 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\MaPPO.py:407(_softmax_action)
        1    3.100    3.100  990.576  990.576 <ipython-input-1-9f27055c2193>:71(train)
  2923246    2.979    0.000   13.983    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\dtypes.py:1119(is_dtype)
     2525    2.895    0.001    2.895    0.001 {method 'write' of 'cv2.VideoWriter' objects}
  3264772    2.892    0.000    7.726    0.000 {pandas._libs.lib.is_list_like}
  3263112    2.888    0.000   15.444    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\dtypes.py:906(is_dtype)
    60606    2.881    0.000    3.368    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
   629632    2.848    0.000    4.119    0.000 ..\highway_env\vehicle\kinematics.py:207(direction)
  1631888    2.847    0.000    7.213    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:212(shape)
  3397996    2.832    0.000    8.699    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:194(is_object_dtype)
  3764914    2.806    0.000    2.806    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2525    2.731    0.001    2.731    0.001 {cvtColor}
  1088368    2.687    0.000   48.014    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:2723(make_block)
  1208890    2.621    0.000   28.056    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
  3943176    2.562    0.000   17.988    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:530(is_categorical_dtype)
   612334    2.546    0.000    2.546    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1157138    2.522    0.000    2.522    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:195(__init__)
   135880    2.453    0.000   28.900    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:295(__init__)
  4347092    2.400    0.000   15.324    0.000 <__array_function__ internals>:2(ndim)
   407640    2.382    0.000    4.133    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:525(_combine_concat_plans)
   136212    2.366    0.000   52.573    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:1523(_setitem_with_indexer)
  4179680    2.322    0.000   13.465    0.000 {built-in method builtins.any}
  1633216    2.307    0.000    6.233    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:237(mgr_locs)
  2490394    2.262    0.000   59.094    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
   202650    2.248    0.000   10.788    0.000 ..\highway_env\road\road.py:268(<listcomp>)
  2573550    2.184    0.000    2.184    0.000 {built-in method pygame.draw.line}
  3467098    2.179    0.000   18.086    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:456(is_period_dtype)
  3127232    2.098    0.000   16.494    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:492(is_interval_dtype)
   272092    2.053    0.000    2.796    0.000 {pandas._libs.lib.infer_dtype}
   267750    2.039    0.000   16.766    0.000 ..\highway_env\vehicle\controller.py:173(speed_control)
    68106    2.032    0.000  109.175    0.002 ..\highway_env\envs\common\observation.py:168(normalize_obs)
   408636    1.985    0.000   11.370    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:993(iget)
  2847990    1.981    0.000    1.981    0.000 {built-in method torch._C._get_tracing_state}
  2105440    1.978    0.000   57.715    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:2033(clip)
   271760    1.950    0.000    4.920    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1852(_stack_arrays)
  5082749    1.947    0.000    1.978    0.000 {built-in method builtins.max}
  1090252    1.930    0.000    4.544    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
   543520    1.929    0.000   16.245    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:204(is_na)
   135880    1.908    0.000   93.169    0.001 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:456(get_result)
    68106    1.907    0.000   12.319    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:351(_get_empty_dtype_and_na)
  3122196    1.906    0.000    3.464    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\numerictypes.py:286(issubclass_)
   271760    1.887    0.000   15.507    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\concat.py:29(get_dtype_kinds)
   543520    1.864    0.000   18.388    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:4199(equals)
  4210880    1.859    0.000    2.617    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:82(_clip_dep_is_byte_swapped)
   281654    1.834    0.000   16.025    0.000 ..\highway_env\road\road.py:51(get_closest_lane_index)
   272424    1.827    0.000   62.130    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\methods.py:95(f)
   135880    1.810    0.000   31.943    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:609(_list_of_dict_to_arrays)
